address,lock return,ref_bonnus,intro_bonnus,total return
0x157d9ff7ddd8d426a0013c682dd1567f074f6ec7,7938401471170941782,0,79384014711709417,8017785485882651199
0x25dba4fe43f3e630bbf5c675568c3d463f5b870c,22051115197697060506,0,220511151976970605,22271626349674031111
0x30086c39930c0708b83e2c31ee080505d843ac8c,52922676474472945214,0,0,52922676474472945214
0x762bb60be9460754dff50275d23e742e33844491,264613382372364726,0,0,264613382372364726
0x381150118f049e8970e57b06a6e880b10769e745,52922676474472945214,0,529226764744729452,53451903239217674666
0x34c3a5ea06a3a67229fb21a7043243b0eb3e853f,1323066911861823630,0,0,1323066911861823630
0x4260e8206c58cd0530d9a5cff55b77d6165c7bcd,3836894044399288528,0,0,3836894044399288528
0x5459fd1a4b2b798aa742223897a43a67e904f629,217203484697316045983,0,1834652784448395433,219038137481764441416
0xccb12611039c7cd321c0f23043c841f1d97287a5,2205111519769706050615,0,0,2205111519769706050615
0xab38a0d96586c0f536b09339daa61c4e6981d3fd,1764089215815764840492,0,0,1764089215815764840492
0x37ad9f5cb15867156bd75e76b8d9edc40fc077a8,2756389399712132563268,0,0,2756389399712132563268
0xcddc876165579bddbebf2ea6ddacaa54896b2b6a,11025447343272541767774,0,110254473432725417677,11135701816705267185451
0x3fd1ddf28f604cfe5fefa3adc38e38be2f7208d6,606405667936669163919,0,0,606405667936669163919
0x6f04ee370184c6ed094f85a0132358f6352fb7db,517649929265938495381,0,0,517649929265938495381
0x51340435b04c3e8d33d7cc0d10f6ad076da50ae9,230985431695876708801,0,0,230985431695876708801
0x4718fc7e40092a9d5fc584699aea1aa4c6f63d33,224370097136567590650,0,2243700971365675906,226613798107933266556
0x33f3341d95adefed3a51358b04b599862f0f2b8c,49218089121259839049,0,492180891212598390,49710270012472437439
0xbd7c0a61406df33a22eb055643316adce6145198,17332176545389889557,0,173321765453898895,17505498310843788452
0x757058fa2a6261ce0834782152413609ca86c9be,12039908897942595036,0,120399088979425950,12160307986922020986
0xf59c491c98c0268480c0c4661b082961f8029fb0,10055308530149859590,0,100553085301498595,10155861615451358185
0x6dbc25e9ccb0995b935a4107953ba98563ed6c6f,4410223039539412101230,0,0,4410223039539412101230
0x2ecd81e43c1f66185446f4af7dfeaa6aae249f55,2205111519769706050615,0,0,2205111519769706050615
0x4f47f2eb86153d036a18f4858970a8ec7d51066d,4410223039539412101,0,44102230395394121,4454325269934806222
0xde45ac1ddb50d0c7ddb7ce66b3af6a696aec6035,29769005516891031683,0,297690055168910316,30066695572059941999
0xaf5d6846a4b7c2cdfabebf001382bc9cba4dd266,3969200735585470891107,0,0,3969200735585470891107
0xf3b02c6df19e6d1fad2ce2b5a463c3cb253194e1,209485594378122074808,0,0,209485594378122074808
0xe2e4f2a725e42d0f0ef6291f46c430f963482001,1984600367792735445553,0,0,1984600367792735445553
0x376e21b6eab3ad3623e4002612c5196c4edfef2a,18522936766065530825,0,185229367660655308,18708166133726186133
0x30f2db9deb67121593c2909b5948d68b9fef57c7,531872898568453099407,0,0,531872898568453099407
0x4af013afbadb22d8a88c92d68fc96b033b9ebb8a,8820446079078824202,0,0,8820446079078824202
0xf4e2fcd72b667b9f9e71bce82069cd174348fd90,17640892158157648404,0,0,17640892158157648404
0x974a3cb54d84b22a6dbeb1bf4e9546eddd825003,198460036779273544555,0,1984600367792735445,200444637147066280000
0x6a9f813fb3e6a8f7013dabd1695bae1d49ae8481,29636725287043086556744,0,296366988257048493202,29933092275300135049946
0x3a5444d841f540fc23c9fae2b5d1fb7ee0838a06,1521526948641097174924,0,0,1521526948641097174924
0x04e6839909b7330dc28bf267230d28da5e83bd2a,170675631630175248317,0,0,170675631630175248317
0x32057597286efed4d8833de4d7b57907e1cd4012,52922676474472945214,0,529226764744729452,53451903239217674666
0xb36e9e8218866df29a46ee3f2160e380b15bcb57,11025557598848530253,0,110255575988485302,11135813174837015555
0xc9930c8e4055bd5f4619dc345d142e7b814ff655,308715612767758847086,0,0,308715612767758847086
0xcbf111366e51ca8e90180d0ee2c7fed9d2bd62dc,13230669118618236303693,0,132306691186182363036,13362975809804418666729
0x3017c658c3fa05781e96599395325ea3f2350b93,1664969453002116553516,0,0,1664969453002116553516
0x6fa7a51725800af7973be549ac5c5bb2c057de37,136716914225721775137,0,0,136716914225721775137
0x7756525541d5cc50bd1c0dc1c99cc29ac3fc0d6b,2205111519769706050,0,0,2205111519769706050
0x11604a4e849b9d4c6a459a6c69938fc9bc4054db,2205111519769706050,0,0,2205111519769706050
0x1391bec69fa33ae796dce01fa12d194e449db65f,55127787994242651265,0,551277879942426512,55679065874185077777
0x589842e8ccd2367df47603189b1c2d3447d6734d,66153345593091181518,0,661533455930911815,66814879049022093333
0x62647118b8b13dd459232ae46c8feb157a054d1f,27563893997121325632,0,0,27563893997121325632
0x38567f34e6154f923a96f1eca2cf42be9db1ef4d,343997397084074143895,0,0,343997397084074143895
0xc2e44cc966a1a7538b31f84b119dc2a8b25a975d,52922676474472945214,0,0,52922676474472945214
0x9bc11c78c3a2a157b01b2b4fe3c610bcc04ff84b,1113581317483701555560,0,0,1113581317483701555560
0x3bb6051cdb5f3e399679dd20400a12919d7e65a9,5623034375412750429,0,56230343754127504,5679264719166877933
0xeca41677558025c76bfd20e9289283cb4ca85f46,69916368401578184893,0,0,69916368401578184893
0x6da35093d7661418dc24606b5d3478cd1e64124d,26461338237236472607,0,264613382372364726,26725951619608837333
0x4db6ec655eb2b5bc9dda13e0cfa6df0a301c5ba8,158768029423418835644,0,1587680294234188356,160355709717653024000
0xd77caf4c72c635e0ee0853694607cb567c06653d,6911172320801421915597,0,0,6911172320801421915597
0x71232ead3bec1ac03ecfe2556acd6c7d0bd349c7,3572280662026923801997,0,0,3572280662026923801997
0x77cc6ec00f1b6eb1a2a4a5a66e3199f0d99a2716,1102555759884853025307,0,0,1102555759884853025307
0x67468a31b888f631b520db2299c4ccead4eed18f,26461338237236472607,0,264613382372364726,26725951619608837333
0x0ab57e2507efc52c1cf65fd829f638e82287638b,119076022067564126733,0,0,119076022067564126733
0x3044392bc94888126fa00c6586dbe86000a64a02,1764089215815764840,0,17640892158157648,1781730107973922488
0x555672439e6f44b6d11abcbcac1e568377b82501,16538336398272795379,0,165383363982727953,16703719762255523332
0x7d04227808dd38f649fe272fe004c029b68f40d7,2646133823723647260738,0,0,2646133823723647260738
0x3288cb2b35d4b25deb6c4e7f8042523b52eb48cd,26461338237236472607,0,264613382372364726,26725951619608837333
0xaa3d5ab57060e32546e45e7fdddbf482879a3609,110255575988485302,0,0,110255575988485302
0x1ee0950a899d327e1041728a66fc140d859be81c,882044607907882420246,0,0,882044607907882420246
0x5c91c5fd6851f9ed55dacb5d7eae87d9549b8d82,134070780401998127876,0,0,134070780401998127876
0xb008c5a449bf9f36858846a2d1080120a2560216,396920073558547089110,0,3969200735585470891,400889274294132560001
0x95340b69162d21a931da57cb9759b671ef57ee7f,1653833639827279537961,0,16538336398272795379,1670371976225552333340
0xfaf55d4daf9e5377eb33a9eadde86d3a455f6c6d,26461338237236472606,0,0,26461338237236472606
0xce57992a5a760ff983bfa5cc15415a18a50b3ecd,11025557598848530253,0,0,11025557598848530253
0x798121bef71dafcff3d046e4c29893675f4ed503,2756389399712132563269,0,0,2756389399712132563269
0x44a82977f3b357edfee04231077f990d291735c3,5512778799424265126,0,0,5512778799424265126
0x951ed2323ad203e490353ab2ac8ee142fe4b771e,37486895836085002860,0,0,37486895836085002860
0xbdcee87119265fc0ec27a3113efc3fbbb90d4d7b,7144561324053847603994,0,71445613240538476039,7216006937294386080033
0x462cc75caee4d0be283eeddbc2cd5698b9880b91,44102230395394121012,0,0,44102230395394121012
0x1b8027dc7a6a8949d1ba4aa1c1a81555c6ae2a3a,932850377323376447651,0,8996855000660400686,941847232324036848337
0xfa6fd86b42ce2ec5e00c1cd35fb0c78bd88c0417,211690705897891780858,0,0,211690705897891780858
0x14a6f964b3d904c918f740826c99dd6a481a95c8,595380110337820633666,0,0,595380110337820633666
